date,zone,day_of_week,month,is_weekend,is_holiday,temperature_c,hdd,cdd,demand_avg_mw,demand_peak_mw,price_avg_eur_mwh,price_peak_eur_mwh,negative_price_hours,wind_cf_daily,solar_cf_daily,gas_price
2015-01-27,DE,1,1,0,0,0.38,17.62,0.0,86.8,99.2,21.563,29.677,0,0.411,0.0326,17.082
2015-01-28,DE,2,1,0,0,-7.08,25.08,0.0,85.9,101.2,24.487,114.123,0,0.36,0.0399,16.684
2015-01-29,DE,3,1,0,0,0.15,17.85,0.0,85.7,99.0,21.169,30.702,0,0.3113,0.0358,17.034
2015-01-30,DE,4,1,0,0,-0.71,18.71,0.0,85.3,96.9,19.307,32.881,0,0.3433,0.0404,16.781
2015-01-31,DE,5,1,1,0,-6.78,24.78,0.0,66.9,77.3,12.797,20.818,0,0.3518,0.04,16.879
2015-02-01,DE,6,2,1,0,-2.06,20.06,0.0,66.3,79.1,12.74,19.533,0,0.3862,0.0362,16.447
2015-02-02,DE,0,2,0,0,-4.33,22.33,0.0,84.6,100.5,17.152,28.328,0,0.4836,0.0433,16.79
2015-02-03,DE,1,2,0,0,0.28,17.72,0.0,84.6,98.9,16.202,28.027,0,0.5007,0.0468,16.522
2015-02-04,DE,2,2,0,0,1.34,16.66,0.0,84.8,97.6,18.03,30.625,0,0.4845,0.0449,16.784
2015-02-05,DE,3,2,0,0,-2.29,20.29,0.0,84.2,98.5,18.461,30.504,0,0.3934,0.0436,16.916
2015-02-06,DE,4,2,0,0,1.12,16.88,0.0,84.1,98.0,20.074,32.052,0,0.3822,0.0548,17.091
2015-02-07,DE,5,2,1,0,2.51,15.49,0.0,65.0,76.7,15.865,39.477,0,0.4758,0.0526,16.743
2015-02-08,DE,6,2,1,0,1.87,16.13,0.0,65.0,73.6,15.242,38.589,0,0.393,0.0484,17.19
2015-02-09,DE,0,2,0,0,-3.51,21.51,0.0,82.9,94.8,17.946,31.854,0,0.3246,0.044,16.47
2015-02-10,DE,1,2,0,0,4.92,13.08,0.0,82.6,95.2,16.385,26.794,0,0.4597,0.0534,16.524
2015-02-11,DE,2,2,0,0,-1.7,19.7,0.0,82.4,93.1,15.431,29.798,0,0.5333,0.0598,16.125
2015-02-12,DE,3,2,0,0,-3.05,21.05,0.0,82.2,97.1,16.901,31.123,0,0.4633,0.0626,16.463
2015-02-13,DE,4,2,0,0,-2.01,20.01,0.0,81.7,94.8,16.825,30.798,0,0.562,0.0681,16.399
2015-02-14,DE,5,2,1,0,-4.79,22.79,0.0,63.4,73.3,12.907,18.905,0,0.39,0.0712,16.212
2015-02-15,DE,6,2,1,0,-1.32,19.32,0.0,63.4,72.1,11.798,20.95,0,0.443,0.0577,16.852
2015-02-16,DE,0,2,0,0,3.89,14.11,0.0,80.8,91.2,17.798,30.471,0,0.4445,0.0609,17.402
2015-02-17,DE,1,2,0,0,-6.41,24.41,0.0,80.4,92.5,16.849,29.698,0,0.3221,0.0629,17.589
2015-02-18,DE,2,2,0,0,-3.14,21.14,0.0,79.7,92.0,17.468,28.034,0,0.3881,0.0658,16.987
2015-02-19,DE,3,2,0,0,2.65,15.35,0.0,79.5,89.7,17.652,33.454,0,0.3249,0.0675,16.824
2015-02-20,DE,4,2,0,0,2.8,15.2,0.0,79.1,90.8,15.655,28.826,0,0.4519,0.0768,17.095
2015-02-21,DE,5,2,1,0,-2.9,20.9,0.0,62.0,71.6,15.626,38.135,0,0.3745,0.0729,17.239
2015-02-22,DE,6,2,1,0,2.7,15.3,0.0,61.3,71.9,15.151,43.814,0,0.3856,0.0876,16.356
2015-02-23,DE,0,2,0,0,-2.62,20.62,0.0,77.8,90.3,14.599,24.443,0,0.4644,0.078,15.997
2015-02-24,DE,1,2,0,0,7.19,10.81,0.0,78.3,90.2,15.23,24.628,0,0.393,0.0777,16.009
2015-02-25,DE,2,2,0,0,1.14,16.86,0.0,77.5,90.6,12.561,24.205,0,0.4981,0.0893,16.224
2015-02-26,DE,3,2,0,0,0.48,17.52,0.0,77.3,90.7,14.527,24.197,0,0.4834,0.0817,16.133
2015-02-27,DE,4,2,0,0,1.44,16.56,0.0,77.1,89.5,14.599,30.362,0,0.4351,0.0898,16.17
2015-02-28,DE,5,2,1,0,1.25,16.75,0.0,59.4,69.6,18.067,37.332,0,0.4099,0.0893,15.825
2015-03-01,DE,6,3,1,0,-3.1,21.1,0.0,59.3,67.1,21.532,41.402,0,0.3854,0.0967,15.95
2015-03-02,DE,0,3,0,0,0.27,17.73,0.0,75.4,88.9,13.208,30.625,0,0.3502,0.0928,15.094
2015-03-03,DE,1,3,0,0,-1.18,19.18,0.0,75.4,87.6,15.627,32.506,0,0.3468,0.1014,14.763
2015-03-04,DE,2,3,0,0,-0.33,18.33,0.0,74.8,85.0,12.37,25.086,0,0.5364,0.1027,15.549
2015-03-05,DE,3,3,0,0,-3.08,21.08,0.0,74.5,85.7,11.637,20.375,0,0.3801,0.0949,16.678
2015-03-06,DE,4,3,0,0,2.88,15.12,0.0,74.0,83.7,12.429,23.966,0,0.3994,0.1017,17.399
2015-03-07,DE,5,3,1,0,8.93,9.07,0.0,57.4,65.7,22.715,36.62,0,0.3934,0.105,17.588
2015-03-08,DE,6,3,1,0,4.41,13.59,0.0,57.5,66.7,18.436,38.107,0,0.3711,0.1041,17.483
2015-03-09,DE,0,3,0,0,-3.9,21.9,0.0,72.9,83.4,11.8,28.262,0,0.4344,0.109,17.689
2015-03-10,DE,1,3,0,0,-0.12,18.12,0.0,72.6,85.6,11.333,16.901,0,0.5413,0.1054,17.713
2015-03-11,DE,2,3,0,0,2.95,15.05,0.0,71.9,83.1,12.031,26.905,0,0.444,0.1178,17.67
2015-03-12,DE,3,3,0,0,7.49,10.51,0.0,71.4,81.9,13.66,26.576,0,0.4064,0.1216,17.332
2015-03-13,DE,4,3,0,0,3.63,14.37,0.0,71.3,84.9,12.284,21.278,0,0.4581,0.1218,17.541
2015-03-14,DE,5,3,1,0,8.86,9.14,0.0,55.7,64.1,25.791,39.378,0,0.4545,0.1328,17.054
2015-03-15,DE,6,3,1,0,3.02,14.98,0.0,54.8,62.1,22.799,40.267,0,0.3416,0.1144,16.929
2015-03-16,DE,0,3,0,0,5.0,13.0,0.0,70.2,82.7,13.133,21.156,0,0.4036,0.1212,17.552
2015-03-17,DE,1,3,0,0,8.7,9.3,0.0,69.5,79.9,13.542,21.709,0,0.3026,0.1236,17.682
2015-03-18,DE,2,3,0,0,5.95,12.05,0.0,68.8,80.4,11.617,16.77,0,0.3183,0.1252,18.445
2015-03-19,DE,3,3,0,0,4.19,13.81,0.0,69.0,79.8,12.183,21.504,0,0.382,0.1299,18.417
2015-03-20,DE,4,3,0,0,9.99,8.01,0.0,68.3,80.0,11.49,19.025,0,0.4509,0.1386,18.685
2015-03-21,DE,5,3,1,0,1.2,16.8,0.0,52.9,62.3,32.806,40.927,0,0.4843,0.1374,19.5
2015-03-22,DE,6,3,1,0,7.55,10.45,0.0,52.8,60.8,32.59,44.073,0,0.5152,0.1378,19.532
2015-03-23,DE,0,3,0,0,5.5,12.5,0.0,67.4,78.7,17.909,41.654,0,0.5436,0.1452,19.914
2015-03-24,DE,1,3,0,0,4.78,13.22,0.0,67.5,77.5,13.553,20.581,0,0.4161,0.1484,20.821
2015-03-25,DE,2,3,0,0,6.12,11.88,0.0,66.6,78.0,15.94,40.122,0,0.4525,0.1415,20.211
2015-03-26,DE,3,3,0,0,2.04,15.96,0.0,66.4,78.5,14.976,35.053,0,0.3965,0.1424,19.858
2015-03-27,DE,4,3,0,0,6.56,11.44,0.0,65.9,76.6,13.736,21.741,0,0.432,0.1506,19.524
2015-03-28,DE,5,3,1,0,9.11,8.89,0.0,51.3,59.7,32.423,40.07,0,0.3728,0.1601,18.406
2015-03-29,DE,6,3,1,0,8.77,9.23,0.0,50.8,58.8,32.403,44.664,0,0.4446,0.148,19.15
2015-03-30,DE,0,3,0,0,5.15,12.85,0.0,65.2,73.5,14.695,42.535,0,0.403,0.1518,18.392
2015-03-31,DE,1,3,0,0,8.57,9.43,0.0,64.3,72.9,13.358,21.825,0,0.2768,0.165,18.13
2015-04-01,DE,2,4,0,0,6.52,11.48,0.0,64.1,74.4,15.741,39.066,0,0.486,0.1631,18.236
2015-04-02,DE,3,4,0,0,-1.87,19.87,0.0,63.3,74.8,20.789,37.822,0,0.4458,0.1674,18.167
2015-04-03,DE,4,4,0,0,9.32,8.68,0.0,63.1,71.2,16.442,38.469,0,0.3368,0.1697,18.11
2015-04-04,DE,5,4,1,0,7.83,10.17,0.0,49.3,58.3,34.096,44.344,0,0.4106,0.1563,18.201
2015-04-05,DE,6,4,1,0,9.13,8.87,0.0,48.6,55.9,36.586,44.254,0,0.4287,0.1698,18.591
2015-04-06,DE,0,4,0,0,8.47,9.53,0.0,62.1,72.1,21.581,42.725,0,0.4769,0.1713,18.496
2015-04-07,DE,1,4,0,0,11.34,6.66,0.0,61.6,71.8,21.589,42.787,0,0.4339,0.1685,18.546
2015-04-08,DE,2,4,0,0,11.12,6.88,0.0,61.2,71.2,20.827,42.328,0,0.3725,0.1788,17.803
2015-04-09,DE,3,4,0,0,12.46,5.54,0.0,60.5,71.1,19.871,39.986,0,0.4333,0.1817,17.926
2015-04-10,DE,4,4,0,0,8.68,9.32,0.0,60.4,69.5,22.839,43.866,0,0.4257,0.1727,17.715
2015-04-11,DE,5,4,1,0,12.74,5.26,0.0,46.8,55.2,36.899,44.061,0,0.434,0.187,18.052
2015-04-12,DE,6,4,1,0,8.8,9.2,0.0,46.2,53.6,35.843,45.606,0,0.3617,0.1836,17.971
2015-04-13,DE,0,4,0,0,10.79,7.21,0.0,59.2,66.9,20.724,41.672,0,0.3705,0.1839,18.205
2015-04-14,DE,1,4,0,0,11.46,6.54,0.0,58.8,68.1,25.673,41.356,0,0.4663,0.1886,17.298
2015-04-15,DE,2,4,0,0,9.84,8.16,0.0,58.7,67.7,25.029,40.186,0,0.4138,0.1886,17.004
2015-04-16,DE,3,4,0,0,9.25,8.75,0.0,58.2,67.4,26.9,40.968,0,0.3997,0.1842,17.467
2015-04-17,DE,4,4,0,0,13.34,4.66,0.0,58.1,66.9,19.033,38.917,0,0.3397,0.1889,17.508
2015-04-18,DE,5,4,1,0,15.77,2.23,0.0,45.2,52.5,34.434,42.302,0,0.4063,0.2153,17.119
2015-04-19,DE,6,4,1,0,10.24,7.76,0.0,44.8,52.3,34.314,43.698,0,0.3936,0.1885,16.527
2015-04-20,DE,0,4,0,0,10.14,7.86,0.0,57.0,65.7,21.967,39.977,0,0.2909,0.2,16.473
2015-04-21,DE,1,4,0,0,9.33,8.67,0.0,56.6,65.1,20.52,37.866,0,0.3447,0.202,16.253
2015-04-22,DE,2,4,0,0,9.93,8.07,0.0,56.3,64.2,26.608,43.976,0,0.3715,0.2104,16.176
2015-04-23,DE,3,4,0,0,9.58,8.42,0.0,56.2,64.0,28.008,39.925,0,0.4634,0.2017,16.038
2015-04-24,DE,4,4,0,0,10.06,7.94,0.0,55.3,64.0,25.756,42.72,0,0.3802,0.2073,16.485
2015-04-25,DE,5,4,1,0,12.3,5.7,0.0,43.0,49.9,33.564,41.6,0,0.4277,0.2087,17.289
2015-04-26,DE,6,4,1,0,14.69,3.31,0.0,42.9,51.1,34.086,42.807,0,0.4576,0.2145,17.754
2015-04-27,DE,0,4,0,0,9.6,8.4,0.0,54.6,63.6,26.719,42.264,0,0.4291,0.2184,17.893
2015-04-28,DE,1,4,0,0,19.02,0.0,1.02,54.2,65.2,27.039,38.975,0,0.385,0.217,17.393
2015-04-29,DE,2,4,0,0,15.64,2.36,0.0,54.1,61.8,32.154,40.088,0,0.4786,0.21,17.874
2015-04-30,DE,3,4,0,0,15.31,2.69,0.0,53.6,61.4,30.031,42.513,0,0.4009,0.2159,17.747
2015-05-01,DE,4,5,0,0,16.63,1.37,0.0,53.6,62.6,29.716,40.893,0,0.4326,0.2186,18.219
2015-05-02,DE,5,5,1,0,15.14,2.86,0.0,41.4,48.4,31.703,40.079,0,0.4473,0.2229,18.321
2015-05-03,DE,6,5,1,0,14.55,3.45,0.0,41.3,47.8,31.199,42.982,0,0.4208,0.2327,18.295
2015-05-04,DE,0,5,0,0,12.05,5.95,0.0,52.8,59.5,33.441,43.58,0,0.4013,0.2252,17.905
2015-05-05,DE,1,5,0,0,14.71,3.29,0.0,52.3,60.4,28.6,39.202,0,0.2812,0.2251,17.777
2015-05-06,DE,2,5,0,0,10.77,7.23,0.0,51.9,57.0,33.982,42.744,0,0.4697,0.2323,16.963
2015-05-07,DE,3,5,0,0,15.21,2.79,0.0,51.7,60.6,31.614,40.849,0,0.494,0.2336,17.542
2015-05-08,DE,4,5,0,0,11.24,6.76,0.0,51.1,59.3,34.212,42.385,0,0.5065,0.2288,16.242
2015-05-09,DE,5,5,1,0,11.35,6.65,0.0,39.8,45.9,28.418,40.502,0,0.5023,0.2365,16.014
2015-05-10,DE,6,5,1,0,17.83,0.17,0.0,39.7,45.6,30.559,42.12,0,0.3762,0.2376,16.054
2015-05-11,DE,0,5,0,0,8.1,9.9,0.0,50.8,58.8,30.281,40.182,0,0.3425,0.2254,16.322
2015-05-12,DE,1,5,0,0,14.9,3.1,0.0,50.3,57.8,34.957,41.211,0,0.3703,0.2431,15.927
2015-05-13,DE,2,5,0,0,17.67,0.33,0.0,50.1,59.2,34.491,42.07,0,0.3959,0.246,16.486
2015-05-14,DE,3,5,0,0,21.65,0.0,3.65,49.8,57.1,36.305,40.916,0,0.5424,0.2444,16.592
2015-05-15,DE,4,5,0,0,13.64,4.36,0.0,49.5,56.5,32.809,39.597,0,0.4169,0.2494,16.406
2015-05-16,DE,5,5,1,0,11.65,6.35,0.0,38.7,46.0,30.507,41.256,0,0.4327,0.2339,16.185
2015-05-17,DE,6,5,1,0,10.74,7.26,0.0,38.1,43.3,25.218,39.11,0,0.4321,0.2435,15.503
2015-05-18,DE,0,5,0,0,12.93,5.07,0.0,49.0,54.8,34.969,43.171,0,0.3449,0.2498,15.404
2015-05-19,DE,1,5,0,0,15.61,2.39,0.0,48.3,55.4,35.248,41.5,0,0.4653,0.2475,15.677
2015-05-20,DE,2,5,0,0,16.79,1.21,0.0,48.6,56.4,36.562,42.476,0,0.4177,0.2463,15.793
2015-05-21,DE,3,5,0,0,15.13,2.87,0.0,48.4,57.7,31.224,40.375,0,0.2904,0.2539,15.495
2015-05-22,DE,4,5,0,0,20.35,0.0,2.35,48.2,55.5,36.504,42.161,0,0.4157,0.2541,15.468
2015-05-23,DE,5,5,1,0,15.55,2.45,0.0,37.1,43.2,24.746,42.455,0,0.4318,0.2472,15.816
2015-05-24,DE,6,5,1,0,20.79,0.0,2.79,37.2,42.4,28.573,41.395,0,0.3225,0.2495,16.033
2015-05-25,DE,0,5,0,0,16.26,1.74,0.0,47.4,54.6,32.665,41.239,0,0.4748,0.2687,16.138
2015-05-26,DE,1,5,0,0,19.45,0.0,1.45,47.2,55.7,33.334,39.227,0,0.3804,0.2569,16.677
2015-05-27,DE,2,5,0,0,14.02,3.98,0.0,47.2,55.6,30.755,41.23,0,0.5212,0.2465,15.672
2015-05-28,DE,3,5,0,0,16.46,1.54,0.0,47.0,53.8,33.433,40.071,0,0.4212,0.2538,15.952
2015-05-29,DE,4,5,0,0,15.05,2.95,0.0,47.0,53.8,31.316,37.396,0,0.4979,0.2673,16.046
2015-05-30,DE,5,5,1,0,20.4,0.0,2.4,36.5,42.8,27.565,39.509,0,0.3823,0.2661,16.777
2015-05-31,DE,6,5,1,0,12.02,5.98,0.0,36.0,43.5,26.452,38.025,0,0.3136,0.2678,16.558
2015-06-01,DE,0,6,0,0,21.09,0.0,3.09,46.3,54.2,31.5,38.391,0,0.4226,0.2641,16.772
2015-06-02,DE,1,6,0,0,21.33,0.0,3.33,46.1,53.3,32.802,37.688,0,0.2955,0.2587,16.505
2015-06-03,DE,2,6,0,0,17.8,0.2,0.0,46.1,53.1,33.401,41.468,0,0.3864,0.2609,15.809
2015-06-04,DE,3,6,0,0,19.16,0.0,1.16,46.2,52.1,32.423,40.428,0,0.4221,0.2653,15.246
2015-06-05,DE,4,6,0,0,23.28,0.0,5.28,46.1,53.7,31.192,36.313,0,0.389,0.2712,15.519
2015-06-06,DE,5,6,1,0,23.22,0.0,5.22,35.7,42.4,28.829,38.784,0,0.3361,0.2617,15.348
2015-06-07,DE,6,6,1,0,18.45,0.0,0.45,35.7,42.0,22.628,34.543,0,0.4002,0.2594,15.528
2015-06-08,DE,0,6,0,0,18.89,0.0,0.89,45.4,53.1,32.358,36.685,0,0.3732,0.2667,15.124
2015-06-09,DE,1,6,0,0,23.71,0.0,5.71,45.2,51.6,30.667,39.457,0,0.4216,0.2614,14.971
2015-06-10,DE,2,6,0,0,23.17,0.0,5.17,45.2,50.6,32.542,38.557,0,0.3917,0.2643,14.9
2015-06-11,DE,3,6,0,0,18.27,0.0,0.27,45.0,52.1,31.593,39.037,0,0.4444,0.2678,14.343
2015-06-12,DE,4,6,0,0,21.23,0.0,3.23,45.0,51.9,30.243,39.958,0,0.3614,0.2667,14.222
2015-06-13,DE,5,6,1,0,19.43,0.0,1.43,35.1,40.9,23.046,40.711,0,0.4544,0.269,14.281
2015-06-14,DE,6,6,1,0,20.48,0.0,2.48,34.9,40.4,19.47,38.464,0,0.495,0.2578,14.876
2015-06-15,DE,0,6,0,0,25.52,0.0,7.52,45.1,51.4,32.247,42.318,0,0.3714,0.2708,14.553
2015-06-16,DE,1,6,0,0,21.28,0.0,3.28,44.6,52.5,34.225,40.188,0,0.3838,0.2717,13.938
2015-06-17,DE,2,6,0,0,15.7,2.3,0.0,44.5,52.6,32.939,39.22,0,0.4051,0.2664,13.909
2015-06-18,DE,3,6,0,0,17.54,0.46,0.0,44.3,52.1,31.815,41.836,0,0.4117,0.261,13.727
2015-06-19,DE,4,6,0,0,18.61,0.0,0.61,44.4,52.2,31.957,40.316,0,0.4389,0.2679,13.482
2015-06-20,DE,5,6,1,0,20.66,0.0,2.66,34.8,40.4,28.625,38.059,0,0.3078,0.2693,14.285
2015-06-21,DE,6,6,1,0,17.27,0.73,0.0,35.1,41.4,23.369,39.953,0,0.3856,0.2719,14.577
2015-06-22,DE,0,6,0,0,22.94,0.0,4.94,44.3,53.8,32.276,42.397,0,0.3765,0.2769,14.418
2015-06-23,DE,1,6,0,0,19.66,0.0,1.66,44.5,52.5,30.419,39.867,0,0.4452,0.2632,14.253
2015-06-24,DE,2,6,0,0,21.77,0.0,3.77,44.7,52.1,33.408,44.45,0,0.4056,0.268,14.592
2015-06-25,DE,3,6,0,0,27.42,0.0,9.42,44.6,50.6,31.275,36.974,0,0.3473,0.2658,13.746
2015-06-26,DE,4,6,0,0,18.23,0.0,0.23,44.6,52.0,33.058,37.181,0,0.3372,0.2614,14.128
2015-06-27,DE,5,6,1,0,20.3,0.0,2.3,34.6,39.1,23.067,40.784,0,0.4164,0.2651,14.499
2015-06-28,DE,6,6,1,0,18.89,0.0,0.89,34.6,40.0,19.159,35.789,0,0.4502,0.281,14.419
2015-06-29,DE,0,6,0,0,20.4,0.0,2.4,44.9,52.6,31.696,38.809,0,0.3306,0.2669,14.045
2015-06-30,DE,1,6,0,0,19.82,0.0,1.82,44.7,52.1,29.996,39.112,0,0.4594,0.2649,13.496
2015-07-01,DE,2,7,0,0,20.96,0.0,2.96,44.3,51.7,31.404,39.009,0,0.3483,0.2725,13.464
2015-07-02,DE,3,7,0,0,18.32,0.0,0.32,44.3,50.5,30.12,38.936,0,0.3699,0.2718,13.153
2015-07-03,DE,4,7,0,0,18.99,0.0,0.99,44.5,52.0,30.607,39.157,0,0.4424,0.2648,12.778
2015-07-04,DE,5,7,1,0,20.22,0.0,2.22,34.9,41.4,24.589,37.258,0,0.3041,0.2604,12.954
2015-07-05,DE,6,7,1,0,22.49,0.0,4.49,35.1,41.8,25.775,38.536,0,0.2882,0.258,13.206
2015-07-06,DE,0,7,0,0,17.63,0.37,0.0,44.9,52.3,30.682,35.45,0,0.3771,0.2635,13.536
2015-07-07,DE,1,7,0,0,17.46,0.54,0.0,44.8,50.8,33.684,40.166,0,0.3266,0.2658,13.57
2015-07-08,DE,2,7,0,0,21.12,0.0,3.12,44.9,52.0,27.683,36.34,0,0.4838,0.2627,13.444
2015-07-09,DE,3,7,0,0,21.6,0.0,3.6,44.8,52.4,29.575,38.401,0,0.4288,0.2636,13.103
2015-07-10,DE,4,7,0,0,18.33,0.0,0.33,45.2,52.6,32.247,38.735,0,0.327,0.2592,12.801
2015-07-11,DE,5,7,1,0,27.35,0.0,9.35,35.1,39.9,25.72,38.574,0,0.3614,0.2638,13.201
2015-07-12,DE,6,7,1,0,26.61,0.0,8.61,35.3,41.4,29.289,39.293,0,0.3096,0.2578,13.313
2015-07-13,DE,0,7,0,0,26.33,0.0,8.33,45.5,50.5,36.246,40.589,0,0.3465,0.2584,12.887
2015-07-14,DE,1,7,0,0,17.07,0.93,0.0,45.4,53.0,34.369,41.224,0,0.3495,0.2509,12.97
2015-07-15,DE,2,7,0,0,25.14,0.0,7.14,45.6,52.3,35.032,41.833,0,0.4559,0.2489,12.615
2015-07-16,DE,3,7,0,0,21.22,0.0,3.22,45.6,52.3,33.915,39.849,0,0.351,0.2696,12.599
2015-07-17,DE,4,7,0,0,23.04,0.0,5.04,45.6,53.1,35.086,42.064,0,0.3118,0.2589,12.603
2015-07-18,DE,5,7,1,0,19.77,0.0,1.77,35.6,41.1,19.943,41.618,0,0.5544,0.2545,12.261
2015-07-19,DE,6,7,1,0,21.76,0.0,3.76,35.9,42.0,21.023,39.479,0,0.4972,0.25,12.418
2015-07-20,DE,0,7,0,0,22.05,0.0,4.05,46.3,53.1,36.015,41.254,0,0.3424,0.2544,12.727
2015-07-21,DE,1,7,0,0,21.41,0.0,3.41,46.3,53.5,32.585,41.328,0,0.4644,0.2545,12.458
2015-07-22,DE,2,7,0,0,21.99,0.0,3.99,46.3,52.0,33.227,40.381,0,0.4892,0.2466,12.859
2015-07-23,DE,3,7,0,0,22.28,0.0,4.28,46.8,53.4,36.056,41.494,0,0.4191,0.2565,12.757
2015-07-24,DE,4,7,0,0,19.11,0.0,1.11,46.9,54.5,35.788,42.303,0,0.4767,0.2524,12.837
2015-07-25,DE,5,7,1,0,23.13,0.0,5.13,36.4,41.2,28.66,41.581,0,0.3913,0.2423,12.708
2015-07-26,DE,6,7,1,0,22.84,0.0,4.84,36.5,42.0,26.301,42.658,0,0.44,0.2338,12.556
2015-07-27,DE,0,7,0,0,24.72,0.0,6.72,46.9,53.8,35.157,39.596,0,0.3722,0.2424,11.971
2015-07-28,DE,1,7,0,0,24.31,0.0,6.31,47.2,55.2,31.5,43.734,0,0.3212,0.2356,12.335
2015-07-29,DE,2,7,0,0,19.95,0.0,1.95,47.2,54.6,33.143,42.075,0,0.3866,0.2553,11.987
2015-07-30,DE,3,7,0,0,22.87,0.0,4.87,48.0,56.6,33.028,39.687,0,0.4809,0.2354,11.889
2015-07-31,DE,4,7,0,0,22.9,0.0,4.9,48.1,55.3,35.373,41.684,0,0.3639,0.2274,12.455
2015-08-01,DE,5,8,1,0,19.58,0.0,1.58,37.5,44.4,26.462,42.972,0,0.4284,0.2361,12.496
2015-08-02,DE,6,8,1,0,23.47,0.0,5.47,37.8,45.4,26.894,41.036,0,0.4481,0.2206,12.275
2015-08-03,DE,0,8,0,0,19.1,0.0,1.1,48.5,56.6,37.495,43.604,0,0.4231,0.233,12.554
2015-08-04,DE,1,8,0,0,19.75,0.0,1.75,48.6,55.6,35.839,43.365,0,0.3315,0.227,12.66
2015-08-05,DE,2,8,0,0,22.17,0.0,4.17,48.7,56.6,35.543,41.76,0,0.412,0.2268,12.349
2015-08-06,DE,3,8,0,0,22.64,0.0,4.64,48.9,55.8,34.286,44.063,0,0.3426,0.2406,12.135
2015-08-07,DE,4,8,0,0,18.14,0.0,0.14,49.5,58.6,35.194,42.465,0,0.3253,0.2138,11.957
2015-08-08,DE,5,8,1,0,20.88,0.0,2.88,38.4,44.0,31.998,41.383,0,0.4004,0.2175,12.174
2015-08-09,DE,6,8,1,0,20.68,0.0,2.68,38.7,44.7,29.86,40.477,0,0.3677,0.2191,12.17
2015-08-10,DE,0,8,0,0,18.85,0.0,0.85,50.0,57.8,29.321,41.398,0,0.2975,0.2313,12.239
