date,gas_price_eur_mwh,coal_price_usd_t,carbon_price_eur_t,oil_price_usd_bbl,spark_spread,dark_spread,clean_spark_spread,shock_event
2015-02-02,16.79,74.402,28.215,59.934,-9.311,-52.993,13.261,
2015-02-03,16.522,73.368,27.995,58.448,-9.254,-52.968,13.142,
2015-02-04,16.784,73.123,27.172,57.38,-8.894,-52.267,12.843,
2015-02-05,16.916,74.043,28.257,60.39,-9.313,-53.091,13.293,
2015-02-06,17.091,72.944,27.052,60.681,-8.81,-52.189,12.831,
2015-02-07,16.743,72.489,26.721,60.527,-8.718,-51.967,12.658,
2015-02-08,17.19,72.66,26.636,59.398,-8.632,-51.862,12.677,
2015-02-09,16.47,72.13,26.607,61.289,-8.705,-51.925,12.581,
2015-02-10,16.524,73.193,26.342,59.981,-8.593,-51.509,12.481,
2015-02-11,16.125,72.397,27.463,59.095,-9.088,-52.65,12.882,
2015-02-12,16.463,71.417,27.975,59.504,-9.253,-53.274,13.127,
2015-02-13,16.399,71.373,27.608,59.982,-9.114,-52.952,12.973,
2015-02-14,16.212,70.061,26.903,60.168,-8.854,-52.536,12.668,
2015-02-15,16.852,70.229,26.839,60.478,-8.753,-52.45,12.718,
2015-02-16,17.402,70.46,26.618,61.682,-8.6,-52.213,12.695,
2015-02-17,17.589,72.083,26.716,60.323,-8.617,-52.03,12.756,
2015-02-18,16.987,73.868,27.637,60.128,-9.056,-52.562,13.053,
2015-02-19,16.824,75.488,27.025,59.159,-8.831,-51.741,12.789,
2015-02-20,17.095,75.041,27.022,58.985,-8.798,-51.813,12.82,
2015-02-21,17.239,76.625,27.071,59.669,-8.8,-51.593,12.857,
2015-02-22,16.356,76.569,26.615,58.36,-8.722,-51.192,12.57,
2015-02-23,15.997,76.185,27.102,56.967,-8.959,-51.694,12.723,
2015-02-24,16.009,75.632,26.924,57.995,-8.886,-51.627,12.653,
2015-02-25,16.224,77.149,26.841,57.268,-8.828,-51.299,12.645,
2015-02-26,16.133,77.43,26.936,56.15,-8.876,-51.337,12.672,
2015-02-27,16.17,77.695,28.292,58.047,-9.415,-52.514,13.219,
2015-02-28,15.825,77.36,27.464,57.43,-9.124,-51.824,12.847,
2015-03-01,15.95,78.759,27.064,56.754,-8.949,-51.231,12.702,
2015-03-02,15.094,78.567,26.489,56.213,-8.82,-50.745,12.371,
2015-03-03,14.763,78.456,25.557,54.729,-8.486,-49.926,11.96,
2015-03-04,15.549,76.941,24.997,56.538,-8.169,-49.674,11.828,
2015-03-05,16.678,75.589,24.813,56.886,-7.963,-49.733,11.887,
2015-03-06,17.399,74.47,24.691,57.682,-7.83,-49.81,11.923,
2015-03-07,17.588,74.05,24.625,56.254,-7.781,-49.821,11.919,
2015-03-08,17.483,73.754,24.739,55.692,-7.839,-49.973,11.953,
2015-03-09,17.689,74.874,24.816,56.045,-7.845,-49.856,12.008,
2015-03-10,17.713,74.874,24.458,56.364,-7.699,-49.533,11.867,
2015-03-11,17.67,77.225,25.228,56.755,-8.012,-49.834,12.17,
2015-03-12,17.332,75.936,25.829,57.024,-8.292,-50.59,12.371,
2015-03-13,17.541,73.949,26.308,57.49,-8.46,-51.352,12.587,
2015-03-14,17.054,73.426,26.446,57.545,-8.572,-51.564,12.585,
2015-03-15,16.929,73.312,26.313,57.703,-8.534,-51.463,12.517,
2015-03-16,17.552,70.49,26.189,57.886,-8.411,-51.821,12.54,
2015-03-17,17.682,70.097,25.268,58.228,-8.027,-51.059,12.188,
2015-03-18,18.445,68.484,25.705,57.883,-8.112,-51.721,12.452,
2015-03-19,18.417,67.402,25.533,59.238,-8.047,-51.746,12.38,
2015-03-20,18.685,69.154,26.134,59.706,-8.255,-51.995,12.652,
2015-03-21,19.5,69.609,26.567,59.387,-8.333,-52.309,12.921,
2015-03-22,19.532,68.881,27.093,58.128,-8.539,-52.903,13.135,
2015-03-23,19.914,68.684,27.728,58.913,-8.748,-53.508,13.434,
2015-03-24,20.821,69.437,26.856,58.842,-8.293,-52.597,13.192,
2015-03-25,20.211,68.897,27.667,59.518,-8.689,-53.418,13.445,
2015-03-26,19.858,67.849,27.686,58.214,-8.738,-53.609,13.41,
2015-03-27,19.524,68.167,28.325,58.852,-9.033,-54.132,13.627,
2015-03-28,18.406,68.478,28.366,59.291,-9.181,-54.117,13.512,
2015-03-29,19.15,66.359,28.031,59.921,-8.959,-54.168,13.465,
2015-03-30,18.392,67.828,28.237,60.834,-9.131,-54.109,13.459,
2015-03-31,18.13,68.656,28.841,61.089,-9.403,-54.514,13.669,
2015-04-01,18.236,68.934,28.343,60.927,-9.192,-54.019,13.483,
2015-04-02,18.167,69.331,28.909,59.766,-9.427,-54.463,13.701,
2015-04-03,18.11,70.871,28.48,58.882,-9.261,-53.82,13.522,
2015-04-04,18.201,71.769,28.486,60.29,-9.253,-53.676,13.536,
2015-04-05,18.591,72.675,28.802,62.816,-9.333,-53.809,13.708,
2015-04-06,18.496,70.491,29.726,62.299,-9.714,-55.005,14.066,
2015-04-07,18.546,71.876,28.773,60.895,-9.327,-53.917,13.691,
2015-04-08,17.803,71.02,29.026,61.47,-9.516,-54.287,13.705,
2015-04-09,17.926,69.515,27.685,61.53,-8.965,-53.331,13.183,
2015-04-10,17.715,69.994,28.074,61.683,-9.145,-53.601,13.314,
2015-04-11,18.052,70.234,28.371,60.901,-9.225,-53.829,13.472,
2015-04-12,17.971,70.441,28.837,60.469,-9.421,-54.213,13.649,
2015-04-13,18.205,70.161,28.769,61.372,-9.366,-54.199,13.649,
2015-04-14,17.298,68.796,27.916,58.794,-9.132,-53.659,13.202,
2015-04-15,17.004,69.57,27.757,59.003,-9.102,-53.387,13.103,
2015-04-16,17.467,70.955,27.719,60.441,-9.033,-53.121,13.143,
2015-04-17,17.508,70.064,27.39,58.83,-8.896,-52.973,13.016,
2015-04-18,17.119,69.688,27.83,60.652,-9.118,-53.432,13.146,
2015-04-19,16.527,70.098,27.251,61.171,-8.956,-52.842,12.845,
2015-04-20,16.473,68.173,27.756,60.504,-9.165,-53.619,13.041,
2015-04-21,16.253,67.079,27.393,60.97,-9.045,-53.474,12.869,
2015-04-22,16.176,67.41,27.592,62.42,-9.134,-53.597,12.94,
2015-04-23,16.038,65.916,28.18,62.047,-9.385,-54.376,13.159,
2015-04-24,16.485,66.296,28.107,62.437,-9.303,-54.247,13.182,
2015-04-25,17.289,68.361,28.146,62.617,-9.224,-53.938,13.292,
2015-04-26,17.754,67.494,28.333,62.588,-9.245,-54.251,13.422,
2015-04-27,17.893,66.65,27.432,60.252,-8.868,-53.581,13.078,
2015-04-28,17.393,66.192,27.271,62.353,-8.862,-53.512,12.955,
2015-04-29,17.874,65.236,27.461,61.896,-8.882,-53.842,13.087,
2015-04-30,17.747,65.418,27.801,61.519,-9.033,-54.118,13.208,
2015-05-01,18.219,64.297,27.805,64.395,-8.978,-54.308,13.265,
2015-05-02,18.321,65.679,27.856,65.068,-8.987,-54.123,13.298,
2015-05-03,18.295,65.511,27.421,65.572,-8.816,-53.761,13.121,
2015-05-04,17.905,66.166,28.017,66.005,-9.1,-54.187,13.313,
2015-05-05,17.777,66.616,27.844,67.116,-9.046,-53.957,13.229,
2015-05-06,16.963,66.281,26.735,65.31,-8.698,-53.015,12.69,
2015-05-07,17.542,67.171,26.35,63.544,-8.476,-52.52,12.604,
2015-05-08,16.242,66.623,27.626,64.041,-9.14,-53.759,12.961,
2015-05-09,16.014,67.088,26.763,63.698,-8.821,-52.906,12.589,
2015-05-10,16.054,67.001,27.187,64.094,-8.986,-53.301,12.763,
2015-05-11,16.322,66.309,27.675,65.973,-9.15,-53.856,12.99,
2015-05-12,15.927,65.426,28.414,65.746,-9.492,-54.668,13.239,
2015-05-13,16.486,64.992,29.241,65.901,-9.757,-55.485,13.636,
2015-05-14,16.592,66.518,29.029,64.785,-9.66,-55.04,13.564,
2015-05-15,16.406,66.969,28.12,65.528,-9.318,-54.147,13.178,
2015-05-16,16.185,68.122,26.774,64.601,-8.805,-52.743,12.614,
2015-05-17,15.503,67.278,26.906,64.392,-8.939,-53.003,12.586,
2015-05-18,15.404,67.117,27.016,63.223,-8.994,-53.128,12.619,
2015-05-19,15.677,67.784,27.224,63.857,-9.045,-53.204,12.734,
2015-05-20,15.793,69.853,27.177,63.504,-9.013,-52.817,12.729,
2015-05-21,15.495,68.772,26.5,62.488,-8.777,-52.388,12.423,
2015-05-22,15.468,69.117,26.527,61.627,-8.791,-52.355,12.431,
2015-05-23,15.816,69.883,26.443,60.902,-8.716,-52.151,12.438,
2015-05-24,16.033,70.08,25.677,60.828,-8.384,-51.429,12.157,
2015-05-25,16.138,69.134,25.774,59.235,-8.411,-51.674,12.208,
2015-05-26,16.677,70.429,25.644,59.622,-8.296,-51.342,12.22,
2015-05-27,15.672,69.207,25.493,58.472,-8.354,-51.41,12.041,
2015-05-28,15.952,71.28,24.893,57.59,-8.081,-50.524,11.834,
2015-05-29,16.046,73.003,24.285,57.849,-7.826,-49.689,11.602,
2015-05-30,16.777,71.194,23.663,57.407,-7.491,-49.431,11.439,
2015-05-31,16.558,72.062,23.777,55.573,-7.563,-49.389,11.459,
2015-06-01,16.772,71.438,24.383,54.946,-7.78,-50.038,11.726,
2015-06-02,16.505,72.018,24.755,55.389,-7.96,-50.277,11.844,
2015-06-03,15.809,72.599,24.243,55.623,-7.837,-49.719,11.557,
2015-06-04,15.246,73.085,23.852,54.339,-7.747,-49.286,11.334,
2015-06-05,15.519,73.35,23.559,55.758,-7.598,-48.978,11.249,
2015-06-06,15.348,73.385,23.686,55.137,-7.669,-49.086,11.28,
2015-06-07,15.528,72.798,23.491,56.489,-7.569,-49.009,11.223,
2015-06-08,15.124,70.163,24.248,59.081,-7.92,-50.129,11.478,
2015-06-09,14.971,68.125,24.097,58.777,-7.877,-50.333,11.4,
2015-06-10,14.9,66.987,24.376,59.332,-7.998,-50.774,11.503,
2015-06-11,14.343,67.69,25.377,59.515,-8.463,-51.558,11.838,
2015-06-12,14.222,67.545,25.689,57.661,-8.603,-51.863,11.949,
2015-06-13,14.281,67.15,26.639,57.48,-8.975,-52.783,12.336,
2015-06-14,14.876,66.038,26.952,57.811,-9.03,-53.25,12.531,
2015-06-15,14.553,66.214,27.605,57.474,-9.33,-53.809,12.754,
2015-06-16,13.938,66.196,27.107,57.12,-9.203,-53.364,12.482,
2015-06-17,13.909,64.503,26.231,57.615,-8.856,-52.857,12.129,
2015-06-18,13.727,62.021,26.643,57.898,-9.042,-53.642,12.272,
2015-06-19,13.482,60.796,27.088,58.262,-9.249,-54.247,12.421,
2015-06-20,14.285,61.179,27.298,58.087,-9.239,-54.372,12.6,
2015-06-21,14.577,61.753,27.982,57.542,-9.478,-54.891,12.908,
2015-06-22,14.418,61.309,28.424,59.094,-9.673,-55.364,13.066,
2015-06-23,14.253,60.919,28.603,58.832,-9.764,-55.589,13.118,
2015-06-24,14.592,58.861,28.13,58.004,-9.535,-55.507,12.969,
2015-06-25,13.746,58.01,27.615,57.794,-9.429,-55.185,12.663,
2015-06-26,14.128,57.797,27.046,57.735,-9.156,-54.708,12.48,
2015-06-27,14.499,56.951,26.553,58.315,-8.915,-54.406,12.327,
2015-06-28,14.419,57.504,26.546,59.052,-8.922,-54.307,12.315,
2015-06-29,14.045,57.494,26.434,57.759,-8.921,-54.208,12.226,
2015-06-30,13.496,58.085,26.248,56.696,-8.912,-53.943,12.087,
2015-07-01,13.464,59.068,25.051,55.169,-8.436,-52.701,11.604,
2015-07-02,13.153,60.362,25.193,55.931,-8.53,-52.613,11.625,
2015-07-03,12.778,59.349,25.418,55.99,-8.664,-52.985,11.671,
2015-07-04,12.954,59.182,25.56,56.149,-8.7,-53.14,11.748,
2015-07-05,13.206,59.898,24.732,53.878,-8.339,-52.275,11.446,
2015-07-06,13.536,60.965,24.227,52.074,-8.098,-51.643,11.283,
2015-07-07,13.57,61.816,25.098,52.558,-8.443,-52.285,11.636,
2015-07-08,13.444,60.988,25.104,52.275,-8.46,-52.428,11.623,
2015-07-09,13.103,62.862,26.0,53.344,-8.858,-52.923,11.941,
2015-07-10,12.801,63.669,26.332,53.769,-9.027,-53.088,12.039,
2015-07-11,13.201,64.275,26.722,54.385,-9.136,-53.337,12.242,
2015-07-12,13.313,62.556,26.767,53.841,-9.14,-53.664,12.273,
2015-07-13,12.887,64.134,27.692,55.158,-9.561,-54.234,12.593,
2015-07-14,12.97,65.433,27.699,55.359,-9.554,-54.024,12.605,
2015-07-15,12.615,65.823,27.733,54.061,-9.609,-53.989,12.577,
2015-07-16,12.599,65.744,28.73,54.931,-10.01,-54.899,12.974,
2015-07-17,12.603,65.99,28.755,54.731,-10.019,-54.881,12.985,
2015-07-18,12.261,65.84,28.326,53.499,-9.888,-54.52,12.773,
2015-07-19,12.418,66.226,27.314,53.381,-9.465,-53.545,12.386,
2015-07-20,12.727,67.279,27.874,53.418,-9.652,-53.874,12.647,
2015-07-21,12.458,66.185,28.066,53.783,-9.761,-54.229,12.692,
2015-07-22,12.859,67.277,27.992,52.578,-9.684,-53.98,12.71,
2015-07-23,12.757,67.496,27.879,52.032,-9.651,-53.842,12.652,
2015-07-24,12.837,66.986,27.529,52.323,-9.501,-53.611,12.522,
2015-07-25,12.708,67.231,27.679,51.25,-9.577,-53.706,12.567,
2015-07-26,12.556,68.681,27.036,49.297,-9.337,-52.885,12.291,
2015-07-27,11.971,68.711,27.053,49.193,-9.413,-52.895,12.229,
2015-07-28,12.335,65.956,27.267,50.576,-9.456,-53.547,12.358,
2015-07-29,11.987,65.581,26.856,49.762,-9.332,-53.24,12.153,
2015-07-30,11.889,66.985,27.843,49.461,-9.739,-53.895,12.536,
2015-07-31,12.455,67.021,28.82,49.378,-10.063,-54.768,12.993,
2015-08-01,12.496,67.388,30.652,50.134,-10.791,-56.355,13.731,
2015-08-02,12.275,68.368,30.43,49.692,-10.728,-55.992,13.616,
2015-08-03,12.554,68.399,30.6,49.705,-10.763,-56.14,13.717,
2015-08-04,12.66,68.835,29.414,50.301,-10.276,-55.0,13.255,
2015-08-05,12.349,67.346,29.38,50.377,-10.299,-55.217,13.205,
2015-08-06,12.135,68.186,28.591,50.008,-10.009,-54.368,12.864,
2015-08-07,11.957,68.138,28.751,49.101,-10.094,-54.519,12.907,
2015-08-08,12.174,68.202,27.663,47.37,-9.633,-53.529,12.497,
2015-08-09,12.17,67.976,27.606,47.346,-9.61,-53.516,12.474,
2015-08-10,12.239,68.943,26.992,46.347,-9.357,-52.802,12.237,
2015-08-11,11.904,69.241,27.664,45.987,-9.665,-53.357,12.466,
2015-08-12,11.16,67.472,27.203,45.526,-9.568,-53.238,12.194,
2015-08-13,11.046,67.511,27.034,46.386,-9.514,-53.078,12.113,
2015-08-14,10.859,66.637,27.293,45.103,-9.639,-53.457,12.195,
2015-08-15,10.965,66.74,27.212,46.393,-9.595,-53.368,12.175,
2015-08-16,10.794,68.803,27.089,45.326,-9.566,-52.913,12.106,
2015-08-17,10.813,67.692,26.682,45.65,-9.401,-52.732,11.945,
2015-08-18,10.963,67.06,27.209,46.602,-9.594,-53.311,12.173,
2015-08-19,11.357,67.593,27.951,45.024,-9.844,-53.89,12.516,
2015-08-20,11.267,66.714,28.018,44.561,-9.882,-54.097,12.533,
2015-08-21,11.22,68.597,27.922,44.893,-9.849,-53.697,12.489,
2015-08-22,11.155,68.675,27.926,45.255,-9.858,-53.687,12.483,
2015-08-23,11.48,70.372,28.099,45.735,-9.889,-53.56,12.59,
2015-08-24,11.149,70.279,28.627,46.448,-10.139,-54.051,12.763,
2015-08-25,11.208,71.214,28.908,47.452,-10.245,-54.148,12.882,
2015-08-26,11.289,70.834,29.102,44.949,-10.313,-54.387,12.969,
2015-08-27,11.397,66.957,28.099,45.314,-9.899,-54.13,12.581,
2015-08-28,11.534,65.79,27.699,46.432,-9.723,-53.964,12.437,
2015-08-29,11.394,68.003,27.698,46.773,-9.739,-53.594,12.42,
2015-08-30,11.855,68.137,27.143,46.681,-9.462,-53.072,12.252,
2015-08-31,11.844,66.742,27.004,46.057,-9.408,-53.18,12.195,
2015-09-01,12.118,66.777,26.851,45.969,-9.315,-53.037,12.166,
2015-09-02,12.185,67.394,26.314,45.107,-9.092,-52.45,11.959,
2015-09-03,12.522,66.978,25.569,45.467,-8.754,-51.849,11.701,
2015-09-04,12.667,65.44,25.686,46.069,-8.784,-52.211,11.765,
2015-09-05,12.785,66.06,24.965,46.344,-8.482,-51.458,11.49,
2015-09-06,12.689,65.582,25.399,47.578,-8.667,-51.929,11.652,
2015-09-07,13.258,66.875,25.343,47.88,-8.578,-51.663,11.697,
2015-09-08,13.512,66.997,25.41,48.59,-8.574,-51.703,11.754,
2015-09-09,13.492,66.264,25.199,49.144,-8.492,-51.635,11.667,
2015-09-10,13.493,66.602,25.537,48.813,-8.627,-51.883,11.802,
2015-09-11,13.748,66.98,24.906,50.08,-8.345,-51.252,11.58,
2015-09-12,13.576,65.318,24.386,49.16,-8.157,-51.061,11.351,
2015-09-13,13.594,65.049,24.221,49.708,-8.089,-50.958,11.288,
2015-09-14,13.709,65.358,24.42,50.259,-8.155,-51.085,11.381,
2015-09-15,12.987,65.0,23.355,50.292,-7.814,-50.186,10.87,
2015-09-16,12.985,66.02,23.91,50.475,-8.036,-50.515,11.092,
2015-09-17,12.823,66.5,23.657,50.474,-7.954,-50.208,10.971,
2015-09-18,13.139,65.944,24.039,51.09,-8.07,-50.644,11.161,
2015-09-19,12.825,66.907,24.374,51.183,-8.241,-50.786,11.259,
2015-09-20,12.581,66.045,24.112,51.683,-8.165,-50.694,11.125,
2015-09-21,12.28,66.478,23.513,51.493,-7.961,-50.082,10.85,
2015-09-22,12.314,68.917,22.866,52.858,-7.698,-49.093,10.595,
2015-09-23,12.36,69.342,22.92,53.281,-7.714,-49.071,10.622,
2015-09-24,12.313,70.854,22.711,54.367,-7.636,-48.631,10.533,
2015-09-25,12.114,70.79,22.224,54.812,-7.464,-48.203,10.315,
2015-09-26,12.552,70.708,22.136,53.712,-7.378,-48.138,10.331,
2015-09-27,12.48,69.018,21.732,53.932,-7.225,-48.056,10.161,
2015-09-28,12.892,71.927,21.477,55.325,-7.074,-47.342,10.107,
2015-09-29,12.97,71.764,21.663,55.387,-7.139,-47.536,10.191,
2015-09-30,13.006,71.324,21.057,53.848,-6.893,-47.064,9.953,
2015-10-01,13.218,71.028,20.806,53.856,-6.767,-46.888,9.878,
2015-10-02,13.481,71.22,20.533,55.045,-6.627,-46.61,9.799,
2015-10-03,14.013,71.748,20.933,56.275,-6.725,-46.882,10.022,
2015-10-04,14.409,72.409,21.183,56.802,-6.778,-46.997,10.169,
2015-10-05,14.014,73.17,20.609,55.989,-6.595,-46.353,9.892,
2015-10-06,14.471,74.093,21.222,55.715,-6.786,-46.751,10.191,
2015-10-07,14.054,73.825,21.265,55.795,-6.853,-46.835,10.16,
2015-10-08,14.452,73.425,21.415,54.802,-6.866,-47.036,10.266,
2015-10-09,14.615,73.429,21.094,54.569,-6.718,-46.746,10.157,
2015-10-10,14.547,73.131,21.841,54.472,-7.025,-47.469,10.448,
2015-10-11,14.459,70.83,21.451,54.214,-6.879,-47.501,10.281,
2015-10-12,14.211,72.298,21.38,55.472,-6.88,-47.192,10.224,
2015-10-13,14.233,72.339,21.342,55.476,-6.862,-47.151,10.211,
2015-10-14,14.844,69.822,20.488,54.933,-6.449,-46.802,9.941,
2015-10-15,14.85,70.545,20.681,54.553,-6.526,-46.856,10.02,
2015-10-16,15.228,71.635,20.758,55.499,-6.512,-46.743,10.095,
2015-10-17,15.332,71.031,21.047,55.609,-6.615,-47.104,10.223,
2015-10-18,15.332,72.601,20.016,54.19,-6.202,-45.914,9.81,
2015-10-19,14.877,72.205,19.914,52.72,-6.215,-45.888,9.716,
2015-10-20,14.511,71.273,20.892,54.43,-6.65,-46.924,10.064,
2015-10-21,14.362,70.884,20.412,52.56,-6.475,-46.557,9.854,
2015-10-22,14.32,69.823,20.378,51.046,-6.466,-46.703,9.836,
2015-10-23,14.047,69.979,20.527,51.43,-6.558,-46.811,9.863,
2015-10-24,13.583,70.876,20.198,52.016,-6.481,-46.366,9.677,
2015-10-25,13.579,69.413,20.071,52.358,-6.431,-46.495,9.626,
2015-10-26,13.788,69.266,20.685,53.307,-6.652,-47.073,9.896,
2015-10-27,13.699,70.045,21.486,55.188,-6.983,-47.663,10.206,
2015-10-28,13.279,69.072,22.124,54.137,-7.287,-48.399,10.412,
2015-10-29,12.84,68.568,22.31,54.037,-7.413,-48.651,10.434,
2015-10-30,12.631,67.875,21.992,53.182,-7.311,-48.48,10.283,
2015-10-31,13.351,68.177,22.382,52.714,-7.382,-48.781,10.523,
2015-11-01,13.289,67.448,21.195,51.406,-6.914,-47.834,10.041,
2015-11-02,12.688,65.172,20.688,52.632,-6.783,-47.757,9.768,
2015-11-03,12.673,66.433,20.858,53.373,-6.852,-47.7,9.834,
2015-11-04,12.388,66.955,21.162,52.819,-7.007,-47.887,9.922,
2015-11-05,12.561,67.524,20.929,51.752,-6.894,-47.583,9.85,
2015-11-06,12.189,67.612,21.066,51.014,-6.992,-47.691,9.861,
2015-11-07,12.198,68.19,21.327,52.439,-7.096,-47.829,9.966,
2015-11-08,12.587,67.166,22.045,51.938,-7.337,-48.646,10.299,
2015-11-09,12.916,67.235,21.863,50.248,-7.226,-48.471,10.265,
2015-11-10,12.86,65.662,22.286,51.619,-7.401,-49.114,10.427,
2015-11-11,12.604,65.959,21.963,51.036,-7.302,-48.773,10.268,
2015-11-12,12.848,65.921,22.727,50.593,-7.579,-49.467,10.602,
2015-11-13,13.169,66.017,23.089,50.185,-7.686,-49.777,10.785,
2015-11-14,13.153,65.903,22.703,50.783,-7.534,-49.449,10.628,
2015-11-15,13.367,66.49,23.4,52.108,-7.788,-49.979,10.933,
2015-11-16,13.241,66.862,23.109,52.13,-7.686,-49.654,10.801,
2015-11-17,13.043,68.487,23.277,51.926,-7.776,-49.535,10.845,
2015-11-18,13.432,66.257,22.339,52.669,-7.355,-49.062,10.516,
2015-11-19,13.452,66.506,21.746,52.647,-7.116,-48.488,10.281,
2015-11-20,14.126,67.328,21.82,52.231,-7.066,-48.417,10.39,
2015-11-21,13.987,65.178,21.933,53.026,-7.128,-48.877,10.419,
2015-11-22,13.436,64.531,21.425,52.105,-6.989,-48.527,10.151,
2015-11-23,13.454,62.513,21.688,52.812,-7.092,-49.101,10.258,
2015-11-24,13.369,60.187,21.256,53.984,-6.93,-49.099,10.075,
2015-11-25,12.441,59.873,20.754,54.766,-6.838,-48.7,9.765,
2015-11-26,12.231,60.236,20.989,56.576,-6.957,-48.851,9.835,
2015-11-27,12.169,60.576,20.366,57.788,-6.715,-48.233,9.578,
2015-11-28,11.937,60.067,20.357,56.162,-6.738,-48.31,9.547,
2015-11-29,12.006,60.938,20.476,54.556,-6.778,-48.272,9.603,
2015-11-30,11.969,61.616,19.707,53.501,-6.475,-47.467,9.291,
2015-12-01,12.231,61.866,19.869,55.291,-6.509,-47.571,9.387,
2015-12-02,12.374,62.477,20.946,55.079,-6.923,-48.439,9.834,
2015-12-03,12.127,62.878,21.13,54.556,-7.025,-48.538,9.879,
2015-12-04,11.814,65.056,21.268,53.837,-7.117,-48.299,9.897,
2015-12-05,12.085,64.95,21.161,54.382,-7.043,-48.22,9.886,
2015-12-06,11.695,65.293,21.97,54.838,-7.412,-48.891,10.164,
2015-12-07,11.585,64.796,21.79,54.588,-7.353,-48.812,10.079,
2015-12-08,11.475,65.687,21.035,55.435,-7.064,-47.983,9.764,
2015-12-09,11.366,66.058,20.561,56.761,-6.887,-47.495,9.561,
2015-12-10,11.72,67.009,19.938,57.608,-6.596,-46.776,9.354,
2015-12-11,11.839,65.396,19.928,57.986,-6.578,-47.036,9.364,
2015-12-12,12.003,65.57,20.044,59.524,-6.606,-47.111,9.43,
2015-12-13,12.371,62.75,19.917,59.347,-6.511,-47.467,9.422,
2015-12-14,11.829,62.838,20.414,58.187,-6.774,-47.9,9.557,
2015-12-15,11.929,61.975,20.14,59.734,-6.653,-47.797,9.459,
2015-12-16,11.767,62.405,19.386,61.736,-6.37,-47.047,9.139,
2015-12-17,11.944,62.234,19.609,60.17,-6.439,-47.276,9.249,
2015-12-18,12.297,61.932,19.529,59.637,-6.365,-47.255,9.259,
2015-12-19,12.119,62.577,19.629,60.337,-6.426,-47.237,9.278,
2015-12-20,12.116,63.059,19.465,62.758,-6.361,-47.009,9.211,
2015-12-21,11.641,64.251,19.997,61.796,-6.629,-47.289,9.369,
2015-12-22,12.29,65.211,20.386,61.827,-6.708,-47.479,9.6,
2015-12-23,12.223,65.006,20.545,63.386,-6.78,-47.656,9.656,
2015-12-24,12.279,64.117,20.884,64.437,-6.909,-48.109,9.798,
2015-12-25,12.48,64.834,20.771,63.36,-6.84,-47.888,9.776,
2015-12-26,12.209,63.244,20.869,63.265,-6.911,-48.242,9.784,
2015-12-27,12.075,60.44,20.349,64.541,-6.719,-48.24,9.56,
2015-12-28,11.874,60.767,19.783,66.212,-6.516,-47.677,9.31,
2015-12-29,11.831,61.031,20.703,68.02,-6.889,-48.461,9.673,
2015-12-30,11.741,60.488,20.568,68.644,-6.846,-48.43,9.608,
